'a'ba 阿爸
'niu'you'guo 牛油果
'nong'wu'zhi'zheng 浓雾之证
'nu'huo'chong'tian 怒火冲天
'nu'huo'zhong'shao 怒火中烧
'nu'li'jiang'zhang 努力奖章
'nu'niu 怒牛
'nu'ying'ge 怒鹦哥
'nu'ying'ge'de'yu'mao 怒鹦哥的羽毛
'nuan'nuan'zhu 暖暖猪
'nuo'ai'mei 诺艾美
'nuo'nuo'gu 糯糯菇
'nv'fu'wu'sheng 女服务生
'nv'hai 女孩
'nv'wang'de'wei'yan 女王的威严
'nv'wang'de'yang'zi 女王的样子
'nv'wang'zao'xing 女王造型
'ou'jiao'ao 偶叫獒
'ou'jiao'ao'de'ya 偶叫獒的牙
'ou'xi 欧席
'ou'yu'zhi'zheng 偶遇之证
'pa'cha'hai'dan 啪嚓海胆
'pa'cha'hai'dan'de'zhen 啪嚓海胆的针
'pa'di'chi 爬地翅
'pa'di'ya'de'yang'zi 帕底亚的样子
'pa'di'ya'di'qu 帕底亚地区
'pa'di'ya'guan'jun'jiang'zhang 帕底亚冠军奖章
'pa'dong'hou 啪咚猴
'pa'ji 爬击
'pa'ji'mo 怕寂寞
'pa'ji'mo'bo'he 怕寂寞薄荷
'pa'lu'qi'ya 帕路奇亚
'pa'qi'li'zi 帕奇利兹
'pa'qi'li'zi'de'mao 帕奇利兹的毛
'pa'sheng'ka'fei'dian 帕生咖啡店
'pa'shou'mao 扒手猫
'pa'zi'pa'zi'feng'ge 啪滋啪滋风格
'pai'cui'xi'ya 派翠西亚
'pai'ji 拍击
'pai'la'si 派拉斯
'pai'la'si'de'tang'guo 派拉斯的糖果
'pai'la'si'te 派拉斯特
'pai'luo 拍落
'pai'zhao 拍照
'pan'pu 攀瀑
'pan'quan 盘蜷
'pan'shan 蹒跚
'pan'yan 攀岩
'pang'ding 胖丁
'pang'ding'de'tang'guo 胖丁的糖果
'pang'du'du 胖嘟嘟
'pang'huang'ye'ling 彷徨夜灵
'pang'ke'ding 胖可丁
'pang'ke'yao'gun 庞克摇滚
'pang'pang'ha'li 胖胖哈力
'pang'tian'ni 胖甜妮
'pang'yan'guai 庞岩怪
'pao'mo 泡沫
'pao'mo'guang'xian 泡沫光线
'pao'mo'li'shu 泡沫栗鼠
'pao'mo'li'shu'de'mao 泡沫栗鼠的毛
'pao'mo'nai'you 泡沫奶油
'pao'wu'mian'chong'dian 抛物面充电
'pao'xia'hen'hua 抛下狠话
'pao'ying'de'yong'tan'diao 泡影的咏叹调
'pei'xiu 佩琇
'pen'cai'guai 盆才怪
'pen'cai'guai'de'yan'lei 盆才怪的眼泪
'pen'chu 喷出
'pen'huo 喷火
'pen'huo'long 喷火龙
'pen'huo'tuo 喷火驼
'pen'huo'tuo'jin'hua'shi 喷火驼进化石
'pen'she'huo'yan 喷射火焰
'pen'she'quan 喷射拳
'pen'shui 喷水
'pen'ti'xiong 喷嚏熊
'pen'ti'xiong'de'mao 喷嚏熊的毛
'pen'yan 喷烟
'peng'peng'ji'po 砰砰击破
'peng'tou'xiao'chou 砰头小丑
'peng'you'shou'ce 朋友手册
'pi'ai'er 皮埃尔
'pi'bao'bao 皮宝宝
'pi'bao'bao'de'mao 皮宝宝的毛
'pi'fu'tang'lang 劈斧螳螂
'pi'ka'qiu 皮卡丘
'pi'ka'qiu'de'tang'guo 皮卡丘的糖果
'pi'ka'qiu'san'ming'zhi'qian 皮卡丘三明治签
'pi'ka'qiu'shui'bei 皮卡丘水杯
'pi'kai 劈开
'pi'ke'xi 皮可西
'pi'ke'xi'jin'hua'shi 皮可西进化石
'pi'li'dian'qiu 霹雳电球
'pi'li'dian'qiu'de'dian'li 霹雳电球的电力
'pi'li'dian'qiu'de'tang'guo 霹雳电球的糖果
'pi'lu 琵鲁
'pi'pi 皮皮
'pi'pi'de'tang'guo 皮皮的糖果
'pi'pi'guo 霹霹果
'pi'pi'wan'ou 皮皮玩偶
'pi'qiu 皮丘
'pi'qiu'de'mao 皮丘的毛
'pi'wa 劈瓦
'pi'ya'bai 皮亚柏
'pi'yi 皮一
'pi'zhan'si'ling 劈斩司令
'piao'fu 飘浮
'piao'fu'pao'pao 飘浮泡泡
'piao'fu'pao'pao'de'yang'zi 飘浮泡泡的样子
'piao'mian'mian 飘绵绵
'piao'piao'chu 飘飘雏
'piao'piao'chu'de'yu'rong 飘飘雏的羽绒
'piao'piao'qiu 飘飘球
'piao'piao'qiu'de'qi'ti 飘飘球的气体
'piao'piao'zhui'luo 飘飘坠落
'piao'xiang'tun 飘香豚
'ping'chang'de'yang'zi 平常的样子
'ping'fan'xing'tai 平凡形态
'ping'guo'long 苹裹龙
'ping'guo'pian 苹果片
'ping'guo'suan 苹果酸
'ping'he 平河
'ping'ting'zi'shi 平挺姿势
'ping'ye'guo 苹野果
'ping'zhang 屏障
'ping'zhang'meng'gong 屏障猛攻
'po'ge 破格
'po'huai'guang'xian 破坏光线
'po'jiu'diao'gan 破旧钓竿
'po'ke 破壳
'po'kong'yan 破空焰
'po'lang'xing'tai 破浪形态
'po'leng'shui 泼冷水
'po'lie'de'cha'hu 破裂的茶壶
'po'lin 珀琳
'po'mie'zhi'guang 破灭之光
'po'mie'zhi'yuan 破灭之愿
'po'po'dai 破破袋
'po'po'duo'lun 破破舵轮
'po'sha 泼沙
'po'sun'ri'ji 破损日记
'po'yin 破音
'pu'dao 仆刀
'pu'dao'jiang'jun 仆刀将军
'pu'en'huo 普恩霍
'pu'ji 扑击
'pu'jiang 蒲江
'pu'lan'da'dao 浦蓝大道
'pu'lan'qu 浦蓝区
'pu'lan'shi'ji 浦蓝市集
'pu'long'long 噗隆隆
'pu'long'long'de'qi'ti 噗隆隆的气体
'pu'long'long'mu 普隆隆姆
'pu'pu'zhu 噗噗猪
'pu'tong'can'guan 谱通餐馆
'pu'tong'mo'shi 普通模式
'pu'tong'xing'tai 普通形态
'qi'bai'ma'de'yang'zi 骑白马的样子
'qi'cao 起草
'qi'chang'lun 气场轮
'qi'chang'po'huai 气场破坏
'qi'chang'zhi'yi 气场之翼
'qi'dai'zhi'zheng 期待之证
'qi'feng 起风
'qi'hei'ma'de'yang'zi 骑黑马的样子
'qi'hei'si'ming 漆黑嘶鸣
'qi'ji'pi'fu 奇迹皮肤
'qi'ji'zhi'yan 奇迹之眼
'qi'ji'zhong'zi 奇迹种子
'qi'la'di'na 骑拉帝纳
'qi'la'er 祈菈儿
'qi'lin'qi 麒麟奇
'qi'lin'qi'de'mao 麒麟奇的毛
'qi'lu'li'an 奇鲁莉安
'qi'mi'guo 奇秘果
'qi'miao'kong'jian 奇妙空间
'qi'nuo'li'shu 奇诺栗鼠
'qi'qi 琪琪
'qi'qi'lin 奇麒麟
'qi'qiu 气球
'qi'shi'hou 弃世猴
'qi'shi'pi'dai 气势披带
'qi'shi'tou'dai 气势头带
'qi'shi'wo'niu 骑士蜗牛
'qi'wei'zhen'ce 气味侦测
'qi'wu 起雾
'qi'xi 气息
'qi'xi'qing'niao 七夕青鸟
'qi'xi'qing'niao'jin'hua'shi 七夕青鸟进化石
'qi'xiang'qiu 气象球
'qi'xing'zhuang'zhi 骑行装置
'qi'xuan'gong'ji 气旋攻击
'qi'yi'guo'pian 奇异果片
'qi'yi'ka'pian 奇异卡片
'qi'yi'qiu 奇异球
'qi'yi'xun'xiang 奇异薰香
'qi'yi'zhi'feng 奇异之风
'qi'yi'zhi'guang 奇异之光
'qi'yuan 祈愿
'qi'yuan'kuang'shi 起源矿石
'qi'yuan'qiu 起源球
'qi'yuan'xing'tai 起源形态
'qi'zha 气闸
'qi'zhi'hua'shi 鳍之化石
'qia'lei'mu 恰雷姆
'qia'lei'mu'jin'hua'shi 恰雷姆进化石
'qian'ban'bian'shen 牵绊变身
'qian'ban'jiang'sheng 牵绊缰绳
'qian'ban'ka'fei'guan 牵绊咖啡馆
'qian'bian'wan'hua 千变万花
'qian'bo'ji'dang 千波激荡
'qian'chun 千春
'qian'jian'qi'fa 千箭齐发
'qian'jin'xiao'jie 千金小姐
'qian'lan'se'he'xin 浅蓝色核心
'qian'ling'qi'xi 潜灵奇袭
'qian'lv'yi'zi 浅绿椅子
'qian'lv'zhuo'jin 浅绿桌巾
'qian'mei 千美
'qian'mian'bi'yi 千面避役
'qian'ming'wan'ou 签名玩偶
'qian'na 千那
'qian'nu 迁怒
'qian'shou 牵手
'qian'shui 潜水
'qian'shui'qiu 潜水球
'qian'tan'bei'ke 浅滩贝壳
'qian'tan'hai'yan 浅滩海盐
'qian'wei'xie 钳尾蝎
'qian'xiang'guo 千香果
'qian'xun 千寻
'qian'zai'nan'feng'jiang'zhang 千载难逢奖章
'qian'zao 千早
'qian'zhen'yu 千针鱼
'qian'zhen'yu'de'ci 千针鱼的刺
'qiang'e'ji'mu'chong 强颚鸡母虫
'qiang'e'ji'mu'chong'de'si 强颚鸡母虫的丝
'qiang'hua'kou'dai 强化口袋
'qiang'li'bian'da 强力鞭打
'qiang'li'xiang'cao 强力香草
'qiang'li'zuan 强力钻
'qiang'ren'gong'ji 强刃攻击
'qiang'xian'yi'bu 抢先一步
'qiang'xing 强行
'qiang'zhi'duan'lian'qi 强制锻炼器
'qiang'zhuang'da'shi'jiang'zhang 强壮大师奖章
'qiang'zhuang'zhi'e 强壮之颚
'qiang'zi'yin'qing 强子引擎
'qiao'ai'er 乔艾尔
'qiao'duan'jiang 巧锻匠
'qiao'jie'te 乔杰特
'qiao'ke'guo 巧可果
'qiao'nong'pao'chong 锹农炮虫
'qiao'yin'hou 敲音猴
'qie'fan'guo 茄番果
'qie'ge'luo'tuo'mu 切割洛托姆
'qie'kai 且凯
'qin'fen 勤奋
'qin'mi'peng'peng 亲密碰碰
'qin'zi'ai 亲子爱
'qing'cao'chang'di 青草场地
'qing'cao'cun'chu'die 青草存储碟
'qing'cao'hua'ti 青草滑梯
'qing'cao'jiao'ban'qi 青草搅拌器
'qing'cao'zhi'zao'zhe 青草制造者
'qing'cao'zhong'zi 青草种子
'qing'chu'nong'wu 清除浓雾
'qing'chu'zhi'yan 清除之烟
'qing'jia'wang 请假王
'qing'jiao'pian 青椒片
'qing'jie'yuan 清洁员
'qing'jin'shu 轻金属
'qing'jing'zhui'shi 清净坠饰
'qing'kong'hua'san'ming'zhi'qian 晴空花三明治签
'qing'lang 晴朗
'qing'li 庆理
'qing'mei 晴美
'qing'mian'niao 青绵鸟
'qing'mian'niao'de'yu'mao 青绵鸟的羽毛
'qing'piao'piao 轻飘飘
'qing'qing'ting 蜻蜻蜓
'qing'qing'ting'de'ci 蜻蜻蜓的刺
'qing'shen'xue 轻身鳕
'qing'shen'xue'de'yu'pian 轻身鳕的鱼片
'qing'shi 轻石
'qing'shui'cun'chu'die 清水存储碟
'qing'teng'she 青藤蛇
'qing'tian'xing'tai 晴天形态
'qing'tong'zhong 青铜钟
'qing'xi'luo'tuo'mu 清洗洛托姆
'qing'xing 清醒
'qing'yan 青焰
'qing'ying'qing'ying'feng'ge 轻盈轻盈风格
'qing'zhu 庆祝
'qing'zhu'zhi'kai 庆祝之铠
'qing'zhuang 轻装
'qiong'huang'da'dao 琼黄大道
'qiong'huang'qu 琼黄区
'qiu'gen 球根
'qiu'guo'guo 球果果
'qiu'guo'he 球果盒
'qiu'ji 秋基
'qiu'jiao 裘娇
'qiu'lei'mu 酋雷姆
'qiu'lei'mu'de'dian'xin 酋雷姆的点心
'qiu'lei'mu'de'yang'zi 酋雷姆的样子
'qiu'qiu'hai'shi 球球海狮
'qiu'qiu'hua'wen 球球花纹
'qiu'ri'da'dao 秋日大道
'qiu'sui 秋穗
'qiu'tian'de'yang'zi 秋天的样子
'qiu'yu 求雨
'qu'jin'neng'liang 驱劲能量
'quan'fu'yao 全复药
'quan'hai'shen 拳海参
'quan'ji'shou'tao 拳击手套
'quan'kai'meng'zhuang 全开猛撞
'quan'man'yao 全满药
'quan'neng'bian'shen 全能变身
'quan'neng'xing'tai 全能形态
'quan'quan'xiao 拳拳蛸
'quan'quan'xiong 圈圈熊
'quan'tou'shi'ban 拳头石板
'quan'xi'ying'xiang'tong'xun'qi 全息影像通讯器
'que'sun'de'cha'hu 缺损的茶壶
'qun'dao'hua'wen 群岛花纹
'qun'er'xiao'jie 裙儿小姐
'qun'ju'bian'xing 群聚变形
'qun'mo'luan'wu 群魔乱舞
'ran'jin 燃尽
'ran'shao'chong 燃烧虫
'ran'shao'chong'de'mao 燃烧虫的毛
'ran'tong 然彤
're'dai'cao'yuan'hua'wen 热带草原花纹
're'dai'long 热带龙
're'dai'long'de'ye'pian 热带龙的叶片
're'dai'ti 热带踢
're'dai'yu'lin'hua'wen 热带雨林花纹
're'feng 热风
're'jiao'huan 热交换
're'la're'la'feng'ge 热辣热辣风格
're'la'wa 热辣娃
're'la'wa'de'zhong'zi 热辣娃的种子
're'qing'zhi'zheng 热情之证
're'sha'da'di 热沙大地
're'sha'feng'bao 热沙风暴
're'shui 热水
're'zhong 热衷
'ren'ma'yi'ti 人马一体
'ren'mei 仁美
'ren'nai 忍耐
'ren'zao'xi'bao'luan 人造细胞卵
'ren'zhen 认真
'ren'zhen'bo'he 认真薄荷
'ri'guang'ren 日光刃
'ri'guang'shu 日光束
'ri'zhao 日照
'ri'zhi'shi 日之石
'rong'dan'guo 茸丹果
'rong'fen'da'dao 蓉粉大道
'rong'fen'qu 蓉粉区
'rong'hua 溶化
'rong'jie'ye 溶解液
'rong'rong 荣蓉
'rong'rong'yang 茸茸羊
'rong'shi'shou 溶食兽
'rong'shi'shou'de'nian'ye 溶食兽的黏液
'rong'tai 荣太
'rong'yan'chong 熔岩虫
'rong'yan'chong'de'rong'yan 熔岩虫的熔岩
'rong'yan'feng'bao 熔岩风暴
'rong'yan'kai'jia 熔岩铠甲
'rong'yan'wo'niu 熔岩蜗牛
'rong'yan'zeng'fu'qi 熔岩增幅器
'rong'yan'zhuang 熔岩装
'rong'yi'shou 熔蚁兽
'rou'ruan 柔软
'rou'ruan'sha'zi 柔软沙子
'ru'kou 入口
'ruan'ruo 软弱
'rui'li'mu'guang 锐利目光
'rui'li'niao'zui 锐利鸟嘴
'rui'li'zhi'ya 锐利之牙
'rui'li'zhi'zhao 锐利之爪
'run'shui'ya 润水鸭
'ruo'dian'bao'xian 弱点保险
'ruo'ding'yu 弱丁鱼
'ruo'yao'ti'sheng'deng'ji 若要提升等级
'sa'jiao 撒娇
'sa'ling 撒菱
'sa'lu'de 萨戮德
'sai'er'qiu 塞尔丘
'sai'fu'hao 赛富豪
'sai'fu'lin 塞弗琳
'sai'yao 鳃咬
'sai'yu'hai'shou 鳃鱼海兽
'sai'yu'long 鳃鱼龙
'san'chong'gong'ji 三重攻击
'san'di'shu 三地鼠
'san'dian'xi 伞电蜥
'san'hai'di'shu 三海地鼠
'san'he'yi'ci'guai 三合一磁怪
'san'jie'xing'tai 三节形态
'san'lian'jian 三连箭
'san'lian'ti 三连踢
'san'lian'zuan 三连钻
'san'mi'feng 三蜜蜂
'san'mi'feng'de'mi 三蜜蜂的蜜
'san'ming'zhi 三明治
'san'se'zong'he 三色综合
'san'shou'e'long 三首恶龙
'san'sui 三穗
'san'xuan'ji 三旋击
'san'zhi'jia'ting 三只家庭
'sao'mu 扫墓
'sao'wei'pai'da 扫尾拍打
'se'xian 瑟娴
'sen'lin'xi'yi 森林蜥蜴
'sen'lin'zhou'shu 森林咒术
'sen'zhi'yang'geng 森之羊羹
'sen'zhi'zhen'bao 森之镇宝
'sha'bao 沙暴
'sha'bao'she 沙包蛇
'sha'bao'she'de'sha 沙包蛇的沙
'sha'chen'hua'wen 沙尘花纹
'sha'chen'zhi'zheng 沙尘之证
'sha'he'ma 沙河马
'sha'he'ma'de'sha 沙河马的沙
'sha'ji'la'si 沙基拉斯
'sha'lin'guo 沙鳞果
'sha'ling'xian'ren'zhang 沙铃仙人掌
'sha'luo'mang 沙螺蟒
'sha'mo'qing'ting 沙漠蜻蜓
'sha'nai'duo 沙奈朵
'sha'nai'duo'jin'hua'shi 沙奈朵进化石
'sha'qiu'wa 沙丘娃
'sha'qiu'wa'de'sha 沙丘娃的沙
'sha'sha'yan'shi 沙沙岩石
'sha'tan'luo'bo 沙滩萝卜
'sha'tie'pi 沙铁皮
'sha'tu'suo'yi 砂土蓑衣
'sha'xue 沙穴
'sha'yi'zi 纱依子
'sha'yin 沙隐
'sha'you'li 纱友里
'sha'zhi'li 沙之力
'shan'bi'qiang'hua 闪避强化
'shan'dian'ka'dai 闪电卡带
'shan'dian'meng'chong 闪电猛冲
'shan'dian'niao 闪电鸟
'shan'dian'niao'de'dian'xin 闪电鸟的点心
'shan'dian'niao'de'tang'guo 闪电鸟的糖果
'shan'dian'qiang'xi 闪电强袭
'shan'guang 闪光
'shan'lan'shuai 山岚摔
'shan'liang'zhi'xing'jiang'zhang 闪亮之星奖章
'shan'shan'lei'guang 闪闪雷光
'shan'yan'chong'feng 闪焰冲锋
'shan'yan'gao'ge 闪焰高歌
'shan'yan'wang'pai 闪焰王牌
'shan'yao'hu'fu 闪耀护符
'shan'zhi'zhen'bao 山之镇宝
'shang'ban'zu 上班族
'shang'cai 上菜
'shang'en 尚恩
'shang'gong'zi'shi 上弓姿势
'shang'gou'zhi'zheng 上钩之证
'shang'suo'de'rong'qi 上锁的容器
'shang'wu'ren'shi 商务人士
'shang'yao 伤药
'shang'zhi'guo 裳之国
'shang'zhu'lou 商住楼
'shao'huo'gong 烧火蚣
'shao'jing 烧净
'she'shen 舍身
'she'shen'chong'zhuang 舍身冲撞
'she'tian 舌舔
'she'wen'xiong 蛇纹熊
'she'zhi'cheng'hao 设置称号
'she'zhi'zhao'shi 设置招式
'shen'ao'di'qu 神奥地区
'shen'ao'guan'jun'jiang'zhang 神奥冠军奖章
'shen'ao'mao'zi 神奥帽子
'shen'er 慎二
'shen'hai'lin'pian 深海鳞片
'shen'hai'zhi'ya 深海之牙
'shen'he'zhi'di 神阖之笛
'shen'hui'mi'guo 深灰米果
'shen'mi'bai'she 神秘摆设
'shen'mi'de'di'fang 神秘的地方
'shen'mi'shou'hu 神秘守护
'shen'mi'shui'di 神秘水滴
'shen'mi'zhi'jian 神秘之剑
'shen'mi'zhi'li 神秘之力
'shen'niao'meng'ji 神鸟猛击
'shen'qi'dan 神奇蛋
'shen'qi'lin'pian 神奇鳞片
'shen'qi'shi'ban 神奇石板
'shen'qi'shou'hu 神奇守护
'shen'qi'tang'guo 神奇糖果
'shen'qi'zheng'qi 神奇蒸汽
'shen'sheng'zhi'huo 神圣之火
'shen'shi 深诗
'shen'shi 神石
'shen'shi'e 绅士蛾
'shen'shi'zao'xing 绅士造型
'shen'su 神速
'shen'ti'qing'liang'hua 身体轻量化
'shen'tong'li 神通力
'shen'yi'lang 慎一郎
'shen'yuan'fan'gun 深渊翻滚
'shen'yuan'tu'ci 深渊突刺
'shen'zhong 慎重
'shen'zhong'bo'he 慎重薄荷
'sheng'cai 生彩
'sheng'cai 生菜
'sheng'dan 声弹
'sheng'dan 生蛋
'sheng'hui 圣灰
'sheng'huo'tui 生火腿
'sheng'ji'shu'ju 升级数据
'sheng'jian 圣剑
'sheng'li'zhi'wu 胜利之舞
'sheng'li'zhi'xing 胜利之星
'sheng'ming'bao'zhu 生命宝珠
'sheng'ming'shui'di 生命水滴
'sheng'ri'jiang'zhang 生日奖章
'sheng'zhang 生长
'shi'ban'sui'kuai 石板碎块
'shi'cao 食草
'shi'chu'zhi'yu 释出之玉
'shi'di 湿地
'shi'di'fen 史蒂芬
'shi'fu'you 师父鼬
'shi'guang'pao'xiao 时光咆哮
'shi'jie'guan'jun'jiang'zhang 世界冠军奖章
'shi'jie'jiang'zhang 世界奖章
'shi'jie'mao'zi 世界帽子
'shi'ju'xie 石居蟹
'shi'kong'chao'ji'jin'hua'bao'ke'meng 失控超级进化宝可梦
'shi'kong'chao'ji'jin'hua'de'shu'xing'xiang'ke 失控超级进化的属性相克
'shi'la'bi 时拉比
'shi'li 实里
'shi'mao'ka'fei'guan 时髦咖啡馆
'shi'meng 食梦
'shi'meng'meng 食梦梦
'shi'pin'he 饰品盒
'shi'po 识破
'shi'qi 湿气
'shi'run'zhi'qu 湿润之躯
'shi'run'zhi'sheng 湿润之声
'shi'sha'bao'ye 噬沙堡爷
'shi'shang'fu'shi'guan 时尚服饰馆
'shi'shang'ming'ren'ka 时尚名人卡
'shi'shi'fei 湿湿肥
'shi'tou'guan 石头馆
'shi'tu 食土
'shi'tuo'guo 释陀果
'shi'wan'fu'te 十万伏特
'shi'wan'ma'li 十万马力
'shi'wan'zi 石丸子
'shi'wang'jiang'zhang 失望奖章
'shi'xiong 时雄
'shi'ye 时也
'shi'ying'li 适应力
'shi'yuan'zhi'hai 始源之海
'shi'zai'guo 柿仔果
'shi'zhe 士哲
'shi'zhi'zhen'bao 时之镇宝
'shi'zi'du'ren 十字毒刃
'shi'zi'jian 十字剪
'shi'zi'pi 十字劈
'shi'zu'da'niao 始祖大鸟
'shi'zu'xiao'niao 始祖小鸟
'shou'hu'tang'guo 守护糖果
'shou'huo 收获
'shou'ji'luo'tuo'mu 手机洛托姆
'shou'lie'feng'die 狩猎凤蝶
'shou'lie'qiu 狩猎球
'shou're'ji'sheng 受热激升
'shou'xia 手下
'shou'xia'liu'qing 手下留情
'shou'xian'mo'shi 受限模式
'shou'zhu 守住
'shu'cai'guai 树才怪
'shu'cheng 熟成
'shu'dian 输电
'shu'fu 束缚
'shu'guo'zhi 树果汁
'shu'guo'zhong'zhi'pen 树果种植盆
'shu'hu'zhi'zheng 疏忽之证
'shu'lin'gui 树林龟
'shu'nv'zao'xing 淑女造型
'shu'shu 叔叔
'shu'shu'er 鼠数儿
'shu'xing 属性
'shu'xing'xiang'ke'biao 属性相克表
'shu'ye 树也
'shu'ye 树叶
'shu'ye'xin 树叶信
'shu'zhen'wei'xiong 树枕尾熊
'shu'zhen'wei'xiong'de'zhua'zi 树枕尾熊的爪子
'shu'zhi 淑芝
'shua'shua'cha'pao 刷刷茶炮
'shuai'bu'diao'de'qi'wei 甩不掉的气味
'shuai'da 摔打
'shuai'ge'quan 帅哥券
'shuai'ge'zhen'tan'shi'wu'suo 帅哥侦探事务所
'shuai'jiao'ying'ren 摔角鹰人
'shuai'jiao'ying'ren'de'yu'rong 摔角鹰人的羽绒
'shuai'jiao'ying'ren'jin'hua'shi 摔角鹰人进化石
'shuai'qi'da'shi'jiang'zhang 帅气大师奖章
'shuai'rou 甩肉
'shuang'bei'duo'duo'bing 双倍多多冰
'shuang'bei'feng'huan 双倍奉还
'shuang'bei'yan'cai 双倍腌菜
'shuang'dan'wa'si 双弹瓦斯
'shuang'fu'zhan'long 双斧战龙
'shuang'guang'shu 双光束
'shuang'hou'pen'wu 爽喉喷雾
'shuang'jian'qiao 双剑鞘
'shuang'kuai'zhi'zheng 爽快之证
'shuang'lang 爽朗
'shuang'lang'bo'he 爽朗薄荷
'shuang'luan'xi'bao'qiu 双卵细胞球
'shuang'nai'xian 霜奶仙
'shuang'ren'piao 双人票
'shuang'ren'tou'chui 双刃头锤
'shuang'ren'wan 双刃丸
'shuang'shou'bao'long 双首暴龙
'shuang'wei'guai'shou 双尾怪手
'shuang'yi 双翼
'shuang'zhen 双针
'shui'bian'xiang'cao 水边香草
'shui'bo'dao 水波刀
'shui'di'shi'ban 水滴石板
'shui'jian'gui 水箭龟
'shui'jian'gui'jin'hua'shi 水箭龟进化石
'shui'jiao 睡觉
'shui'jing'deng'huo'ling 水晶灯火灵
'shui'jing'deng'huo'ling'jin'hua'shi 水晶灯火灵进化石
'shui'jing'mian'ju 水井面具
'shui'jun 水君
'shui'jun'de'dian'xin 水君的点心
'shui'liu'huan 水流环
'shui'liu'ka'dai 水流卡带
'shui'liu'lian'da 水流连打
'shui'liu'lie'po 水流裂破
'shui'liu'pen'she 水流喷射
'shui'liu'wei 水流尾
'shui'mu 水幕
'shui'pao 水泡
'shui'pao 水炮
'shui'qiang 水枪
'shui'shui'gu 睡睡菇
'shui'shui'ta 水水獭
'shui'tai'jing'sui'kuai 水太晶碎块
'shui'yi'bu 水伊布
'shui'yue'yu 水跃鱼
'shui'zheng'qi 水蒸气
'shui'zhi'bao'shi 水之宝石
'shui'zhi'bo'dong 水之波动
'shui'zhi'gua'zhou 水之挂轴
'shui'zhi'shi 水之石
'shui'zhi'shi'yue 水之誓约
'shui'zhu'dan 水煮蛋
'shui'zhu'dan'pian 水煮蛋片
'shun'fa'nian'gao 瞬发粘糕
'shun'fa'zhi'yu 瞬发之羽
'shun'feng 顺风
'shun'jian'shi'yi 瞬间失忆
'shun'jian'yi'dong 瞬间移动
'shun'shou'qian'yang 顺手牵羊
'shuo'guo'fei 硕果肥
'si'chou'wei'jin 丝绸围巾
'si'e'zhen'long 四颚针龙
'si'ji 司机
'si'ji'lu 四季鹿
'si'ji'lu'de'mao 四季鹿的毛
'si'ji'yun'he 四季运河
'si'ji'yun'he'yan'an 四季运河沿岸
'si'lie'zhao 撕裂爪
'si'mo'cha 斯魔茶
'si'mo'cha'de'fen 斯魔茶的粉
'si'tian'wang 四天王
'si'zhen'shi 似珍石
'si'zhi'jia'ting 四只家庭
'song'diao'de'tan'huang 松掉的弹簧
'su'du 速度
'su'du'fen 速度粉
'su'du'hu'huan 速度互换
'su'du'qiang'hua 速度强化
'su'du'qiu 速度球
'su'du'xing'tai 速度形态
'su'du'zeng'qiang'ji 速度增强剂
'su'fei 苏菲
'su'ji 速击
'su'su'fei 速速肥
'suan'huang'gua'pian 酸黄瓜片
'suan'nai 酸奶
'suan'suan'ping'guo 酸酸苹果
'suan'ye'zha'dan 酸液炸弹
'sui'feng'qiu 随风球
'sui'ji'guang 随机光
'sui'lie'kai'jia 碎裂铠甲
'sui'pian 碎片
'sui'tie 碎铁
'sui'yan 碎岩
'suo'cai'ling 索财灵
'suo'cai'ling'de'ying'bi 索财灵的硬币
'suo'ding 锁定
'suo'er'jia'lei'ou 索尔迦雷欧
'suo'er'jia'lei'ou'de'dian'xin 索尔迦雷欧的点心
'suo'luo'sha'bu'lei 娑罗沙布蕾
'suo'luo'ya 索罗亚
'suo'luo'ya'de'mao 索罗亚的毛
'suo'luo'ya'ke 索罗亚克
'suo'ni'ya'de'shu 索妮亚的书
'suo'ru'ke'zhong 缩入壳中
'suo'zhen'chong 索侦虫
'ta'bing'ren'ou 踏冰人偶
'ta'la'gang 塔拉刚
'ta'mu 塔姆
'ta'ni 塔霓
'ta'ren'de'yi'shi'wu 他人的遗失物
'tai'gu'kui'jia 太古盔甲
'tai'gu'yu'chong 太古羽虫
'tai'jing'bao'fa 太晶爆发
'tai'jing'bian'xing 太晶变形
'tai'jing'jia'qiao 太晶甲壳
'tai'jing'xing'tai 太晶形态
'tai'jing'zhu 太晶珠
'tai'le'ba'ge'si 太乐巴戈斯
'tai'shan'ya'ding 泰山压顶
'tai'yang 泰阳
'tai'yang'de'yang'zi 太阳的样子
'tai'yang'hua'wen 太阳花纹
'tai'yang'shan'hu 太阳珊瑚
'tai'yang'yan 太阳岩
'tai'yang'yi'bu 太阳伊布
'tai'yang'zhi'di 太阳之笛
'tai'yang'zhi'li 太阳之力
'tai'zhi 太志
'tan'bao'qi 探宝器
'tan'ce'qi 探测器
'tan'chi'gui 贪吃鬼
'tan'ke'chou'you 坦克臭鼬
'tan'shuai 坦率
'tan'tan'shu 探探鼠
'tan'tiao 弹跳
'tan'xian'tao'zhuang 探险套装
'tan'xian'xin'de 探险心得
'tan'xiao'shi 炭小侍
'tan'xiao'shi'de'mei'hui 炭小侍的煤灰
'tan'xin'li'shu 贪心栗鼠
'tan'xin'li'shu'de'mao 贪心栗鼠的毛
'tang'guo'guan 糖果罐
'tang'jiang'zha'dan 糖浆炸弹
'tao'ci'lang 桃次郎
'tao'dai 桃代
'tao'dai'lang 桃歹郎
