'a'gan'hui 阿甘回
'bu'po 不破
'bu'qi 不器
'bu'ran 不染
'bu'shan 不善
'bu'she 不舍
'bu'sheng'hua 步生花
'bu'shi 捕食
'bu'shi'zhui'ji 卜氏锥击
'bu'shi'zhui'ji'die 卜氏锥击叠
'bu'shou'jia 捕兽夹
'bu'shu'sheng 捕鼠绳
'bu'suan 卜算
'bu'tai'gan'jing'de'da'chang'jin 不太干净的大肠筋
'bu'tai'xiang'de'su'zi'shao'rou 不太香的粟子烧肉
'bu'tian'ji 怖天极
'bu'tian'jue 补天诀
'bu'tian'xin'jing 补天心经
'bu'tian'xin'jing'zui'wu'jiu'tian 补天心经醉舞九天
'bu'wei 不畏
'bu'wei'an'xing 怖畏暗刑
'bu'wen'ding'de'nei'li 不稳定的内力
'bu'wen'e 不闻恶
'bu'xi 不息
'bu'xi'lie'feng 不息烈风
'bu'xi'zhi'feng 不息之风
'bu'xiang'zou'lu'ya 不想走路鸭
'bu'yi 不移
'bu'yu 捕鱼
'bu'yu'da'xiong 捕鱼达熊
'bu'ze 布泽
'bu'zhen 布阵
'bu'zheng 不争
'bu'zhi 布置
'bu'zhi'huo 不知火
'bu'zhuo 捕捉
'bu'zui'bu'gui 不醉不归
'ca'dao 擦刀
'ca'han 擦汗
'ca'shou'ca'lian 擦手擦脸
'cai'deng'xuan 彩灯喧
'cai'gu 裁骨
'cai'mo'gu 踩蘑菇
'cai'qiu'chi 彩球赤
'cai'qiu'lan 彩球蓝
'cai'qiu'qiu 踩球球
'cai'ta 踩踏
'cai'wei 采薇
'cai'yao'sheng'ming 采曜生明
'cai'ye'yin'ren 裁叶饮刃
'cai'yuan'gun'gun 财源滚滚
'cai'zhen 采珍
'cai'zhu 踩住
'can'bei 残背
'can'chen 参辰
'can'du 残毒
'can'feng'lu 餐风露
'can'feng'mu'ye 残风暮叶
'can'feng'yin'lu 餐风饮露
'can'hun'ji'qu 残魂汲取
'can'huo'shao 残火烧
'can'lan 灿烂
'can'li 残力
'can'lian 参连
'can'lie 残裂
'can'lou 残楼
'can'po'shan 残破山
'can'ren'fei'dao 残忍飞刀
'can'xiang 残香
'can'xin 蚕心
'can'xin'tan 残心贪
'can'xue 残雪
'can'yi'zhan 残意斩
'can'ying 残影
'can'yue 残月
'can'yue'shang'hun 残月殇魂
'can'yue'zhan 残月斩
'can'zhi'dao'zhan'shou 残肢刀斩手
'cang'cong 藏丛
'cang'er'you 苍洱游
'cang'feng 藏锋
'cang'hai'heng'liu 沧海横流
'cang'hai'yi'xiao 沧海一啸
'cang'hu'xiao'yue 苍狐啸月
'cang'huo'long'juan 苍火龙卷
'cang'ji'fu'di 苍棘缚地
'cang'jiao'fu'hai 苍蛟覆海
'cang'jiao'sao'lang 苍蛟扫狼
'cang'lan 沧澜
'cang'lan'ji 沧澜击
'cang'lan'ji'chong'tian 沧澜击重天
'cang'lan'ji'cui'xin'jian 沧澜击催心箭
'cang'lan'ji'shuang'sheng 沧澜击双生
'cang'lang'qi'die 沧浪七叠
'cang'lang'qian'ping 沧浪千屏
'cang'lang'san'die 沧浪三叠
'cang'lang'san'die'er 沧浪三叠二
'cang'lang'san'die'san 沧浪三叠三
'cang'lang'san'die'yi 沧浪三叠一
'cang'lang'shou'dao 苍狼手刀
'cang'lang'shou'dao'er 苍狼手刀二
'cang'lang'shou'dao'er 苍狼手刀贰
'cang'lang'shou'dao'san 苍狼手刀叁
'cang'lang'wu'sheng 沧浪无声
'cang'lang'xiao 苍狼啸
'cang'lang'zhu'yue 苍狼逐月
'cang'li'jing'shi 藏离精失
'cang'ling'long'xi 藏玲珑嬉
'cang'long 苍龙
'cang'long'chu'shui 苍龙出水
'cang'long'jing'tian'zhang 苍龙惊天掌
'cang'long'jing'tian'zhang'chuan'tou 苍龙惊天掌穿透
'cang'long'jing'tian'zhang'kuang'nu 苍龙惊天掌狂怒
'cang'long'jing'tian'zhang'nu 苍龙惊天掌怒
'cang'long'li'tian 苍龙戾天
'cang'long'sui 苍龙碎
'cang'long'zhen'yan'chuan'tou 苍龙真炎穿透
'cang'qing'ling'yin'qi'wu 苍青灵引起舞
'cang'qiong'chui'xiang 苍穹垂像
'cang'qiong'ling 苍穹令
'cang'qiong'zhan 苍穹斩
'cang'rong 苍荣
'cang'shan'xue'shi 苍山雪狮
'cang'sheng'zui 苍生醉
'cang'shi'zhong'jing 藏识众境
'cang'wu 苍梧
'cang'wu'yin'ling'zhen 苍梧引灵阵
'cang'xing 沧行
'cang'xing'dai'shi 藏形待时
'cang'xue 沧雪
'cang'xue'dao 苍雪刀
'cang'xue'ming'zhao 藏血冥爪
'cang'yan 苍炎
'cang'yan'liu'hong 苍焰流虹
'cang'yuan'hu'yue 苍原弧月
'cang'yuan'xiao'tian 苍猿啸天
'cang'yue 沧月
'cang'yun'te'shu'wu'qi'cang'long'zhen'yan'mu'ji'neng 苍云特殊武器苍龙真炎母技能
'cang'yun'te'shu'wu'qi'chong'yun'hua'fo'mu'ji'neng 苍云特殊武器冲云化佛母技能
'cang'yun'te'shu'wu'qi'ding'shang'zong'pi'mu'ji'neng 苍云特殊武器顶上纵劈母技能
'cang'yun'te'shu'wu'qi'jin'gang'fan'fan'ji'mu'ji'neng 苍云特殊武器金刚返返技母技能
'cang'yun'te'shu'wu'qi'long'lian'zhao'mu'ji'neng 苍云特殊武器龙连爪母技能
'cang'yun'te'shu'wu'qi'mu'long'bing'da'mu'ji'neng 苍云特殊武器木龙柄打母技能
'cao'du 草毒
'cao'gu'zhu'bai'cai 草菇煮白菜
'cao'kong 操控
'cao'sheng 草生
'cao'ti 草薙
'cao'yao 草药
'cao'zuo'quan'yan'you'rao 操作泉眼右绕
'cao'zuo'quan'yan'zuo'rao 操作泉眼左绕
'ce'er'qing'ting'xi 侧耳倾听嬉
'ce'er'qing'ting'xi 侧耳倾听戏
'ce'er'xi'ting 侧耳细听
'ce'fan 侧翻
'ce'ma'kuang'ben 策马狂奔
'ce'shi'ji'neng 测试技能
'ce'shi'tao'lu 测试套路
'ce'shi'zhi'liao'ji'neng 测试治疗技能
'ce'yin 恻隐
'ce'zuo 侧坐
'ceng'yi'ceng 蹭一蹭
'ceng'yi'xia 蹭一下
'ceng'ying 层楹
'ceng'yun 层云
'cha'ji'neng 查技能
'cha'kan'shui'liang 查看水量
'cha'kan'xin'qing 查看心情
'cha'shao'bao 叉烧包
'cha'yu 叉鱼
'chai'jie 拆解
'chai'yan 钗燕
'chan'ban'yue 蝉伴月
'chan'chu'meng'chong 蟾蜍猛冲
'chan'di'chen'ji 颤地尘击
'chan'di'hou 颤地吼
'chan'di'lie'huo'zhou 缠地烈火咒
'chan'hui 禅慧
'chan'hui'guan'ti 禅慧贯体
'chan'jian'shi 缠剑式
'chan'jiao 缠绞
'chan'lin 禅临
'chan'rao'zhong'ji 缠绕重击
'chan'shi 蟾噬
'chan'si 缠丝
'chan'si'qin'na'shou 缠丝擒拿手
'chan'si'qin'na'shou'zhong'ding 缠丝擒拿手终定
'chan'si'zhen 缠丝阵
'chan'si'zhen'zhong 缠丝阵终
'chan'tui 蝉蜕
'chan'tui'guan'ti 蝉蜕贯体
'chan'xiao 蟾啸
'chan'xiao'duo'ming 蟾啸夺命
'chan'xiao'ku'can 蟾啸枯残
'chan'xiao'mi'xin 蟾啸迷心
'chan'xiao'zhi'zhu 产小蜘蛛
'chan'xin 缠心
'chan'xin'zhen 颤心针
'chan'yi 禅意
'chan'yu 禅语
'chan'zao 蟾躁
'chan'zhang'xuan'ji 禅杖旋击
'chan'zhang'zhi'tu 禅杖直突
'chan'zhu 缠竹
'chan'zi 铲子
'chan'zui 馋嘴
'chan'zui'gui'qing 忏罪归清
'chang'dao'la'jiao'zhi'ge 唱捣辣椒之歌
'chang'dao'po'kong 长刀破空
'chang'e'ben'yue 嫦娥奔月
'chang'feng'po'lang 长风破浪
'chang'feng'qiu'lu 长峰秋露
'chang'feng'qiu'lu 长风秋露
'chang'feng'wan'li 长风万里
'chang'ge'yi'lan'gong 长歌猗兰宫
'chang'ge'yin 长歌吟
'chang'gong'zhen'lie'qian'jin 长弓阵列前进
'chang'gui 怅归
'chang'he 畅和
'chang'hen 长恨
'chang'hong 长虹
'chang'hong'guan'ri 长虹贯日
'chang'hui 长晖
'chang'ji'chuan'yun 长击穿云
'chang'ji'heng'sao 长戟横扫
'chang'ji'lian'ci 长戟连刺
'chang'ji'ran'feng 长击燃烽
'chang'ji'za'di 长戟砸地
'chang'ji'zhen'lie 长戟阵列
'chang'ji'zhen'lie'qian'jin 长戟阵列前进
'chang'jiao'fen'shui 长蛟分水
'chang'jue 长绝
'chang'kong'po'yun'shi 长空破云式
'chang'lian'qu'qiang 长镰曲强
'chang'lian'qu'ruo 长镰曲弱
'chang'mao'tou'zhi 长矛投掷
'chang'qiang'zhi'chuo 长枪直戳
'chang'qiang'zhi'ci 长枪直刺
'chang'qing 长清
'chang'qu'zhi'ru 长驱直入
'chang'quan 长拳
'chang'sheng 长生
'chang'sheng'meng'wu 长生梦舞
'chang'su 长溯
'chang'tong'wu'zu 畅通无阻
'chang'wai'jiu'yuan 场外救援
'chang'wei 尝味
'chang'xiang'si'li'yu 长相思离俞
'chang'xiang'si'san'sang 长相思三桑
'chang'xiang'si'xun'mu 长相思寻木
'chang'xiang'yi 长相忆
'chang'xiao 长啸
'chang'yi 长依
'chang'yin 畅饮
'chang'yin'dao 长吟刀
'chang'yin'qiang 长吟枪
'chang'yin'qiang'er 长吟枪二
'chang'yin'qiang'yi 长吟枪一
'chang'ying 长鹰
'chang'you 长右
'chang'yu'wu'chang 常与无常
'chang'zhen 长针
'chang'zhen'shen'bing 长针神兵
'chang'zheng 长征
'chang'zhi 长致
'chao'fan'ru'sheng 超凡入圣
'chao'feng 嘲讽
'chao'huan'tuo 超欢脱
'chao'ke'po'sui 巢壳破碎
'chao'lang'wu'qiang'jue 潮浪舞枪诀
'chao'ming'xian 潮鸣弦
'chao'pi'gui'xiang 巢脾归箱
'chao'qi 潮起
'chao'ran 超然
'chao'ran'wu'wai 超然物外
'chao'sheng 朝圣
'chao'sheng'yan 朝圣言
'chao'sheng'yan'guan'ti 朝圣言贯体
'chao'xi'qiang 潮汐枪
'chao'xuan 朝玄
'chao'yi'wan'hui 朝仪万汇
'chao'yi'wan'hui'zhui 朝仪万汇追
'chao'yin 潮音
'chao'yong'pai'an 潮涌拍岸
'che'feng'ju'xing 坼风矩形
'che'qian'cao'yao'zi'tang 车前草腰子汤
'che'shi'zhu'xie 彻世逐邪
'che'tui 撤退
'che'xuan'zhen 车悬阵
'che'xuan'zhen'long'ya 车悬阵龙牙
'che'xuan'zhen'shou'qiang 车悬阵收枪
'che'yong'gong'ji 车俑攻击
'chen'gen'duan'luo'zhang 沉根断络掌
'chen'ji 辰极
'chen'long 辰龙
'chen'long'jian'qi 尘龙剑气
'chen'long'kong'zhan 尘龙空斩
'chen'lun 沉沦
'chen'lun'mo 沉沦魔
'chen'mian 沉绵
'chen'ni 沉溺
'chen'po 沉魄
'chen'qiu'feng 沉秋风
'chen'sha'shui'yin 辰砂水银
'chen'shi'hao'dang 尘世浩荡
'chen'tu'fei'yang 尘土飞扬
'chen'xi 尘息
'chen'xing 辰星
'chen'xing'ruo'huan'cheng 辰星若幻承
'chen'xing'ruo'huan'he 辰星若幻合
'chen'xing'ruo'huan'zhuan 辰星若幻转
'chen'ye 沉夜
'chen'yuan 沉渊
'chen'yuan'xiang'wu 尘缘相误
'chen'zhong'chui'ji 沉重锤击
'chen'zhong'zhi'ji 沉重之击
'chen'zhou 沉舟
'chen'zhou'dao 沉舟刀
'chen'zhou'dao'qi 沉舟刀气
'cheng'bo'jian 乘波箭
'cheng'fang'ri'tu 乘房日兔
'cheng'fei'jian 乘飞剑
'cheng'feng'bo'lang 乘风搏浪
'cheng'feng'er'shi 乘风而逝
'cheng'feng'feng'lai'wu'shan 乘风风来吴山
'cheng'feng'jian 乘风箭
'cheng'feng'pi 乘风劈
'cheng'feng'po'lang 乘风破浪
'cheng'fu'yu'huang 城复于隍
'cheng'hu 成虎
'cheng'hua 承华
'cheng'jie 惩戒
'cheng'lei 承磊
'cheng'lei'po 承磊破
'cheng'long 乘龙
'cheng'long'jian 乘龙箭
'cheng'long'xi'shui 乘龙戏水
'cheng'meng'xu'zhou'cheng 乘梦虚舟承
'cheng'meng'xu'zhou'he 乘梦虚舟合
'cheng'meng'xu'zhou'zhuan 乘梦虚舟转
'cheng'ming 承命
'cheng'mo'you'xin 乘墨由心
'cheng'mu 澄穆
'cheng'qi'shou'qi'san 撑起收起伞
'cheng'qi'yu'ling'han'mei 撑起玉翎寒梅
'cheng'qiang'jian'yu 城墙箭雨
'cheng'qing 承清
'cheng'se'xin'biao 橙色信标
'cheng'shen'xing'meng 澄神醒梦
'cheng'sheng 澄生
'cheng'sheng'zhui'ji'chuan'ci 乘胜追击穿刺
'cheng'shou'luo'san 撑收罗伞
'cheng'xia 乘霞
'cheng'xiang'zhuan'zhuan'zhuan 丞相转转转
'cheng'yu 成玉
'cheng'yuan 承缘
'cheng'yun 乘云
'cheng'zhi 承织
'cheng'zi'po 城字破
'chi'chao 叱潮
'chi'cheng 驰骋
'chi'chong'zi 吃虫子
'chi'dao'hui'wu 持刀挥舞
'chi'diao'ta 吃掉它
'chi'dou'nuo'mi'fan 赤豆糯米饭
'chi'duan'qing'chang 痴断情肠
'chi'dun 持盾
'chi'dun 迟钝
'chi'dun'fang'yu 持盾防御
'chi'e 持厄
'chi'er'ying 持而盈
'chi'fan'he'jiu 吃饭喝酒
'chi'feng'ba'bu 驰风八步
'chi'feng'duan'lang'zhan 驰风断浪斩
'chi'feng'ming'jiao 弛风鸣角
'chi'feng'ming'jiao 驰风鸣角
'chi'feng'zhen'yu 驰风震域
'chi'feng'zhen'yu'bao 驰风震域爆
'chi'gua 吃瓜
'chi'guo'zi 吃果子
'chi'hu 持护
'chi'huo 吃货
'chi'jie'fen'zui 赤劫焚罪
'chi'kong 敕空
'chi'lang'chuang'lie'ji 赤狼创裂击
'chi'lang'shou'dao 赤狼手刀
'chi'lang'shou'dao'kuang'nu 赤狼手刀狂怒
'chi'lang'shou'dao'nu 赤狼手刀怒
'chi'lao'niang'de'san'tong'chui 吃老娘的三铜锤
'chi'lei'hong'ji 赤雷轰击
'chi'lei'tian'chong 赤雷天冲
'chi'lei'yin 赤雷引
'chi'lian'dian'bu 赤炼垫步
'chi'lian'luan'wu 赤镰乱舞
'chi'long'deng'mu 赤龙瞪目
'chi'long'xue'lian 赤龙血链
'chi'lv'zhao'ye 弛律召野
'chi'mang 炽芒
'chi're'zhi'xi 炽热之息
'chi'ri'he'yan 赤日赫炎
'chi'ri'lun 赤日轮
'chi'ri'lun'xuan'xiang 赤日轮悬象
'chi'shao'han'xiang 赤芍寒香
'chi'shao'han'xiang'shen'bing 赤芍寒香神兵
'chi'she 赤蛇
'chi'she'du 赤蛇毒
'chi'sheng'ying'deng'cao 池生萤灯草
'chi'tang'hu'lu 吃糖葫芦
'chi'tao'zi 吃桃子
'chi'wei 叱威
'chi'wo'liang'chui 吃我两锤
'chi'wo'yi'gao 吃我一镐
'chi'wo'yi'jian 吃我一剑
'chi'wo'yi'quan 吃我一拳
'chi'xiang'jiao 吃香蕉
'chi'xie 赤蝎
'chi'xin 赤心
'chi'xin 驰心
'chi'xin'guan'ti 赤心贯体
'chi'xing 驰行
'chi'xue'zhi'yue 赤血之约
'chi'yan 炽炎
'chi'yan 炽焰
'chi'yan 赤焰
'chi'yan'fen'shen 赤焰焚身
'chi'yan'jiao'tu 赤炎焦土
'chi'yan'xi 炽炎袭
'chi'yan'zhi'ti 赤焰之体
'chi'yan'zhong 炽焰终
'chi'yang'pai 吃羊排
'chi'ying 持盈
'chi'ying'du 赤影毒
'chi'you'zhao 蚩尤爪
'chi'yu 赤雨
'chi'yu'jue 赤雨诀
'chi'yue 池月
'chi'zhi 迟桎
'chi'zhi'ji'zhua 豉汁鸡爪
'chi'zhu'quan'ying'huan'ge'yuan'xing'shang'hai 迟驻泉映幻歌圆形伤害
'chi'zhu'zi 吃竹子
'chong'a'lie'lie 冲啊烈烈
'chong'ci 冲刺
'chong'dian 充电
'chong'feng 冲锋
'chong'feng'ji'dao 冲锋击倒
'chong'feng'xian'zhen 冲锋陷阵
'chong'gu'du'yun 虫蛊毒云
'chong'gu'hua'yu 虫蛊化雨
'chong'gu'xiao'hun 虫蛊销魂
'chong'gu'xiao'hun'yan 虫蛊销魂烟
'chong'guan 冲冠
'chong'guang 重光
'chong'guang'zhan'e 崇光斩恶
'chong'hun 冲魂
'chong'ji 冲击
'chong'ji'bo 冲击波
'chong'jin'da 冲劲大
'chong'jin'xiao 冲劲小
'chong'jin'zhong 冲劲中
'chong'lie 冲裂
'chong'ling'lian'mian 崇岭连绵
'chong'ling'lian'mian'jian 崇岭连绵剑
'chong'luan'die'zhang 重峦叠嶂
'chong'luan'die'zhang'tui 重峦叠嶂退
'chong'mai'da'he 冲脉大赫
'chong'mai'guan'men 冲脉关门
'chong'mai'he'yang 冲脉合阳
'chong'mai'heng'gu 冲脉横骨
'chong'mai'ji'quan 冲脉极泉
'chong'mai'mang'yu 冲脉盲俞
'chong'mai'qi'chong 冲脉气冲
'chong'mai'qi'xue 冲脉气穴
'chong'mai'shang'qu 冲脉商曲
'chong'mai'shi'guan 冲脉石关
'chong'mai'si'man 冲脉四满
'chong'mai'tai'yi 冲脉太乙
'chong'mai'tong'gu 冲脉通谷
'chong'mai'yin'du 冲脉阴都
'chong'mai'you'men 冲脉幽门
'chong'mai'zhong'zhu 冲脉中注
'chong'men'zhong'chui 冲门重锤
'chong'neng 充能
'chong'po 冲破
'chong'po 虫魄
'chong'qiu'ming 冲秋冥
'chong'sha 冲杀
'chong'shan 重山
'chong'sheng 重生
'chong'shou 虫兽
'chong'xi 冲袭
'chong'xiao 重霄
'chong'xin'kai'shi 重新开始
'chong'xu 冲虚
'chong'xue 冲血
'chong'yan'qiang 冲炎枪
'chong'yan'qiang'zhuo'shao 冲炎枪灼烧
'chong'yin'yang 冲阴阳
'chong'yun 崇云
'chong'yun'hua'fo 冲云化佛
'chong'yun'lian 冲云链
'chong'zhen'qi'gu 重振旗鼓
'chong'zhen'qiang 冲阵枪
'chong'zhen'zhun'bei 冲阵准备
'chong'zheng'qi'gu 重整旗鼓
'chong'zhi 重置
'chong'zhi'jing'tou 重置镜头
'chong'zhuang 冲撞
'chong'zhuang'ge'dang 冲撞格挡
'chou'da 抽打
'chou'dao'duan'shui 抽刀断水
'chou'e'gui'shi'xin 仇恶鬼噬心
'chou'fei 仇非
'chou'fei'guan'ti 仇非贯体
'chou'hen'ce'shi'ji'neng 仇恨测试技能
'chou'hen'da'ji 仇恨打击
'chou'hen'fan'ji 仇恨反击
'chou'hen'pao'xiao 仇恨咆哮
'chou'ji'dan 臭鸡蛋
'chou'ji'lv 愁羁旅
'chou'jin'chai'gu'shou 抽筋拆骨手
'chou'lan 抽蓝
'chou'qi'xun'tian 臭气熏天
'chou'qu 抽取
'chou'qu'nei'li 抽取内力
'chou'sha'ne 瞅啥呢
'chou'sui'shou 抽髓手
'chou'tuo'luo'er 抽陀螺二
'chou'tuo'luo'san 抽陀螺三
'chou'tuo'luo'si 抽陀螺四
'chou'xian 抽线
'chou'xu 愁许
'chou'yan 仇焰
'chou'ye 畴野
'chu'chen 出尘
'chu'chu'dao'xiang 初出稻香
'chu'dang'kuang'jie 除荡旷劫
'chu'feng'rui 储锋锐
'chu'ge 楚歌
'chu'guo 出锅
'chu'he'han'jie 楚河汉界
'chu'he'han'jie'yuan'bing 楚河汉界渊冰
'chu'hun'ru'ding 出魂入定
'chu'ji 出击
'chu'ji 楚济
'chu'ji 锄击
'chu'jing'bai'yu 初景白雨
'chu'jing'xue'feng 初景雪风
'chu'jue 处决
'chu'kui'ling'guang 初窥灵光
'chu'lai'ba'pao'hui 出来吧炮灰
'chu'lei 触类
'chu'mo'jiu'jie 除魔九界
'chu'qi'bu'yi 出其不意
'chu'rong 触融
'chu'ru'xian'yin 出入弦音
'chu'shi'yu 触石雨
'chu'shou'bian'ta 触手鞭挞
'chu'shou'heng'sao 触手横扫
'chu'shu 初熟
'chu'shu 处暑
'chu'wo'zhi'tian 锄我之田
'chu'xing'zhan 处刑斩
'chu'xiu 出岫
'chu'yun 出云
'chuan'ci 穿刺
'chuan'ci'cheng'jie 穿刺惩戒
'chuan'ci'da'di 穿刺大帝
'chuan'ci'da'di'zhong'ji 穿刺大帝重击
'chuan'ci'gong'ji 穿刺攻击
'chuan'ci'jian 穿刺箭
'chuan'dao'shou'ye 传道授业
'chuan'di 传递
'chuan'di'huo'zhong 传递火种
'chuan'die'hua'yu 穿蝶化羽
'chuan'fu'ji 穿釜击
'chuan'gong 传功
'chuan'gong'guan'ding 传功灌顶
'chuan'gong'liao'shang 传功疗伤
'chuan'gu 川谷
'chuan'hun'duo'ming 穿魂夺命
'chuan'hun'duo'ming'ci 穿魂夺命刺
'chuan'huo 传火
'chuan'huo'zhang'di'jie 串火掌低阶
'chuan'huo'zhang'liao'yuan 串火掌燎原
'chuan'huo'zhang'lie'yan 串火掌烈焰
'chuan'huo'zhang'qing'yan 串火掌轻烟
'chuan'huo'zhang'shao'yun 串火掌烧云
'chuan'huo'zhang'tian'mo'jie'ti 串火掌天魔解体
'chuan'huo'zhang'yan'hua 串火掌炎华
'chuan'ji'qian'ji 穿脊牵肌
'chuan'ji'qian'ji'si'lie 穿脊牵肌撕裂
'chuan'ji'tou'gu 穿肌透骨
'chuan'jia'nu'jian 穿甲弩箭
'chuan'kong'dian'ji 穿空电击
'chuan'kong'jian 穿孔箭
'chuan'kong'san'she 穿孔散射
'chuan'lin'da'ye 穿林打叶
'chuan'lin'guan'tian 穿林贯天
'chuan'lin'nu 穿麟弩
'chuan'lin'zhen'fa 穿林针法
'chuan'ling 传令
'chuan'ling'biao'che 传令镖车
'chuan'shan 穿山
'chuan'shan'zhong'nu 穿山重弩
'chuan'shen 传神
'chuan'shi'nu 穿石弩
'chuan'shou'jing'yan 传授经验
'chuan'shou'wu'xue 传授武学
'chuan'shu 传输
'chuan'shu'nei'li 传输内力
'chuan'tao'qiang 穿桃枪
'chuan'ti 穿体
'chuan'tou'jian 穿透箭
'chuan'tou'she'ji 穿透射击
'chuan'wu'she'wang 川乌射罔
'chuan'xian'xi'xi 船舷嬉戏
'chuan'xin 穿心
'chuan'xin'jie 穿心劫
'chuan'xin'nu 穿心弩
'chuan'xin'nu'fei'tian 穿心弩飞天
'chuan'xue'jiao 穿血角
'chuan'yang 穿杨
'chuan'yang'guan'liu 穿杨贯柳
'chuan'yun 穿云
'chuan'yun'feng 穿云风
'chuan'yun'nu 穿云弩
'chuan'yun'nu'er'duan 穿云弩二段
'chuan'yun'nu'lie'zhu'xing 穿云弩裂逐星
'chuan'yun'nu'san'duan 穿云弩三段
'chuan'yun'nu'yi'duan 穿云弩一段
'chuan'yun'shan 穿云山
'chuan'yun'suo'ming 穿云索命
'chuan'zhang 穿掌
'chuan'zhe'ruan'wei'jia 穿着软猬甲
'chuan'zhen 穿针
'chuan'zhi 穿枝
'chuan'zhi'guan'ti 穿枝贯体
'chuang'shang 创伤
'chui'chui'bei 捶捶背
'chui'dang 锤荡
'chui'di 吹笛
'chui'di 捶地
'chui'di 锤地
'chui'diao 垂钓
'chui'er'duan 锤二段
'chui'fei 锤飞
'chui'hui 锤挥
'chui'hun 吹魂
'chui'ji 锤击
'chui'jiao'guan'shan 吹角关山
'chui'jing 垂旌
'chui'lian'po 垂链破
'chui'mei 垂眉
'chui'ni'xiong'kou 捶你胸口
'chui'nian 锤碾
'chui'pao'pao 吹泡泡
'chui'qi 吹气
'chui'san'duan 锤三段
'chui'si'zheng'zha 垂死挣扎
'chui'wan'li 吹万里
'chui'xian'meng'ji 垂涎猛击
'chui'xiang 吹响
'chui'xuan 锤旋
'chui'xuan'li'ren 垂悬利刃
'chui'xue 吹雪
'chui'yi'duan 锤一段
'chui'yin'hong'ming 锤音轰鸣
'chui'zhan 吹绽
'chui'zou 吹奏
'chun'ci 春辞
'chun'dian 春点
'chun'feng'han 春风寒
'chun'han 春寒
'chun'he'wei'fen 淳和未分
'chun'hui'jian 春晖剑
'chun'mai 春脉
'chun'mu 春木
'chun'ni'hu'hua 春泥护花
'chun'ni'hu'hua'guan'ti 春泥护花贯体
'chun'ri 春日
'chun'ri'zhu'ye'yin 春日竹叶吟
'chun'shan'hui'ying 春山绘樱
'chun'yang'bie'ce 纯阳别册
'chun'yang'jue 纯阳诀
'chun'yang'zuo'wang'wu'wo 纯阳坐忘无我
'chun'yi 春意
'chun'yi'fei'ran 春意斐然
'chun'yi'hong'ying 春意虹影
'chuo'tai 绰态
'ci'ai 慈爱
'ci'bei 慈悲
'ci'bei'hao'jie 慈悲浩劫
'ci'bei'wei'huai 慈悲为怀
'ci'bei'xin 慈悲心
'ci'bei'yuan 慈悲愿
'ci'chuan 刺穿
'ci'chui 刺锤
'ci'dao'ku'rong'fan'sheng 此道枯荣繁生
'ci'di'meng'ji 刺地猛击
'ci'er'nu'hou 刺耳怒吼
'ci'fu 赐福
'ci'gu 刺骨
'ci'gu'cai'bao 慈菇菜包
'ci'gu'ji'han 刺骨极寒
'ci'gu'leng'xi 刺骨冷息
'ci'gu'shen'han 刺骨深寒
'ci'gu'zhen 刺骨针
'ci'ji 刺击
'ci'ji 刺激
'ci'ji'yang'wu 次极阳乌
'ci'jian'qing'feng'cheng 此间清风承
'ci'jian'qing'feng'he 此间清风合
'ci'jian'qing'feng'zhuan 此间清风转
'ci'jian'shi 刺剑式
'ci'li'yin'bao 磁力引爆
'ci'ling 辞零
'ci'mu 刺木
'ci'pei 辞霈
'ci'po 刺魄
'ci'qi'bi'luo 此起彼落
'ci'quan 刺拳
'ci'ren'huan'mang 刺刃环芒
'ci'sha 刺杀
'ci'shang 刺伤
'ci'zhi 辞致
'ci'zhuang'meng'xi 刺桩猛袭
'cong'ji 丛棘
'cong'rong 从容
'cong'tian'er'jiang 从天而降
'cong'tian'er'jiang'de'mu'tou 从天而降的木头
'cong'yun'yin'yue 丛云隐月
'cu'chen 簇尘
'cu'liu'pai'gu 醋溜排骨
'cuan'tian'hou 窜天猴
'cui'can'hong 璀璨红
'cui'can'lan 璀璨蓝
'cui'can'lv 璀璨绿
'cui'cheng'dun'chong 摧城盾冲
'cui'cheng'qiang'lie'jin 摧城枪裂筋
'cui'cheng'qiang'shen'ji 摧城枪神机
'cui'cheng'qiang'si'hou 摧城枪撕喉
'cui'cheng'qiang'sui'gu 摧城枪碎骨
'cui'cheng'yi'ji 摧城一击
'cui'dong'nei'li 催动内力
'cui'du 淬毒
'cui'du'jian 淬毒箭
'cui'du'xiao'dao 淬毒小刀
'cui'du'yi'ji 淬毒一击
'cui'du'zhan 淬毒斩
'cui'feng'an'qi'zhu'ying 淬锋暗旗逐影
'cui'feng'fang'ri'tu 摧锋房日兔
'cui'gu 摧骨
'cui'gua'li'ji'si 脆瓜里脊丝
'cui'huo 淬火
'cui'huo'dao 淬火刀
'cui'jing'duan'mai 摧经断脉
'cui'mai'shi 摧脉式
'cui'ming 摧命
'cui'rui 摧蕊
'cui'ruo 脆弱
'cui'shan 摧山
'cui'shan'duan'yue 摧山断岳
'cui'shu'chong'luan 催熟虫卵
'cui'shui'ci'gu 淬水刺骨
'cui'wei 崔嵬
'cui'wei'gui'bu 崔嵬鬼步
'cui'wei'gui'bu'jie 崔嵬鬼步解
'cui'xie 摧懈
'cui'xin 摧心
'cui'xin'guan'ti 摧心贯体
'cui'xin'jian 催心箭
'cui'xin'jian 摧心箭
'cui'xin'zhang 摧心掌
'cui'xin'zhen 摧心针
'cui'xing'po'yue 摧星破月
